arm,strength,seed,instrument,net_annual,t_neff,ic_mean,ic_ci_low,positive,t_fix,ic_ci_low_fix,positive_fix
neg,0.0,1000,ml,0.007410446373460138,0.17927752085233595,0.0040428327271509355,-0.004068176928595692,False,0.17927752085233595,-0.004068176928595692,False
neg,0.0,1000,simple,-0.07689546003902913,-1.6965570083287107,-0.0025626108091549443,-0.009693406043438695,False,-1.6965570083287107,-0.009693406043438695,False
neg,0.0,1001,ml,-0.02345699004273472,-0.44697596199506356,0.0006632634767030832,-0.007183574295042522,False,-0.44697596199506356,-0.007183574295042522,False
neg,0.0,1001,simple,-0.09488460361416859,-1.6642041349032886,-0.003733709581813961,-0.010913892867280372,False,-1.6642041349032886,-0.010913892867280372,False
neg,0.0,1002,ml,-0.07533548607431503,-0.10196180696489045,-0.00014189882851760666,-0.007021846272751926,False,-1.5157712319408803,-0.007021846272751926,False
neg,0.0,1002,simple,-0.020934116238153513,-0.030715952063543304,-3.8957481675515026e-05,-0.007964314871145762,False,-0.4566254550159745,-0.007964314871145762,False
neg,0.0,1003,ml,-0.06463910434913989,-1.2804172845980628,-0.004633985751977394,-0.011738512044126787,False,-1.2804172845980628,-0.011738512044126787,False
neg,0.0,1003,simple,0.006642397268031461,0.17334123312109306,0.002705604545155663,-0.0044552929824315845,False,0.17334123312109306,-0.0044552929824315845,False
neg,0.0,1004,ml,-0.03496647131306278,-0.6374112834815128,0.0030021573254324597,-0.0041441475434807595,False,-0.6374112834815128,-0.0041441475434807595,False
neg,0.0,1004,simple,0.04273458475355423,0.06928686176596896,0.003492333943449277,-0.0034976546675724025,False,1.0300232502988487,-0.0034976546675724025,False
neg,0.0,1005,ml,-0.04158580948504913,-0.051328757953634944,-0.003847297803726056,-0.011013200888186647,False,-0.7630568444532086,-0.011013200888186647,False
neg,0.0,1005,simple,0.007348277005553014,0.17366824966767555,0.0032146044050568585,-0.004952201231491529,False,0.17366824966767555,-0.004952201231491529,False
neg,0.0,1006,ml,-0.11653835435790509,-1.89032812453772,-0.004240322095805995,-0.01145853931861297,False,-1.89032812453772,-0.01145853931861297,False
